wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,psid
Q104904062,Tea Akhvlediani,Tea Akhvlediani,,,,http://gov.ge/index.php?lang_id=ENG&sec_id=124,2021-11-18,Q108379621,State Minister of Georgia for Reconciliation and Civic Equality,Q104904062-68037114-0025-43E2-A6B1-79B6D5E55571
Q106094877,Juansher Burchuladze,Juansher Burchuladze,male,1978-01-01,9,http://gov.ge/index.php?lang_id=ENG&sec_id=124,2021-11-18,Q108378098,Minister of Defence of Georgia,Q106094877-43DAF736-2F5A-4BAF-B444-07547F2E8349
Q106522763,Lasha Khutsishvili,Lasha Khutsishvili,male,1985-01-01,9,http://gov.ge/index.php?lang_id=ENG&sec_id=124,2021-11-18,Q71971342,Minister of Finance of Georgia,Q106522763-12E77546-7A9F-4787-9A27-F0B0C1D670B8
Q106522784,Rati Bregadze,Rati Bregadze,male,,,http://gov.ge/index.php?lang_id=ENG&sec_id=124,2021-11-18,Q94984555,Minister of Justice of Georgia,Q106522784-32646726-2C9B-4FF8-8B97-B42FFB4E5C02
Q106522864,Irakli Karseladze,Irakli Karseladze,male,1978-02-28,11,http://gov.ge/index.php?lang_id=ENG&sec_id=124,2021-11-18,Q108377572,Minister of Regional Development and Infrastructure of Georgia,Q106522864-98C213D6-5204-4ECD-9141-22BB68CE083C
Q13589522,Tea Tsulukiani,Tea Tsulukiani,female,1975-01-21,11,,,Q109623168,"Minister of Culture, Sports and Youth of Georgia",Q13589522-258818FF-A864-4EE9-9661-8AB0AED27644
Q13589522,Thea Tsulukiani,Tea Tsulukiani,female,1975-01-21,11,http://gov.ge/index.php?lang_id=ENG&sec_id=124,2021-11-18,Q109623194,Vice Prime Minister,Q13589522-F0FFE80F-C427-4AC8-97D8-3F5DFE1EE2EC
Q20557144,Vakhtang Gomelauri,Vakhtang Gomelauri,male,1975-12-24,11,http://gov.ge/index.php?lang_id=ENG&sec_id=124,2021-11-18,Q88039626,Minister of Internal Affairs of Georgia,Q20557144-6c19de48-468b-232e-be37-d0af7a8b9aac
Q31354638,Levan Davitashvili,Levan Davitashvili,male,1978-12-10,11,http://gov.ge/index.php?lang_id=ENG&sec_id=124,2021-11-18,Q108377218,Minister of Environment Protection and Agriculture of Georgia,Q31354638-74599E50-842F-46E8-A6E6-E3972EE898C8
Q31354638,Levan Davitashvili,Levan Davitashvili,male,1978-12-10,11,http://gov.ge/index.php?lang_id=ENG&sec_id=124,2021-11-18,Q109623194,Vice Prime Minister,Q31354638-CBCAD7DE-8F37-41B1-99FC-227B2BF7D48C
Q56152039,David Zalkaliani,David Zakaliani,male,1968-02-27,11,http://gov.ge/index.php?lang_id=ENG&sec_id=124,2021-11-18,Q108368702,Minister of Foreign Affairs of Georgia,Q56152039-27e4ea5c-1a60-4211-8f03-169ba6788be8
Q56152039,David Zalkaliani,David Zakaliani,male,1968-02-27,11,http://gov.ge/index.php?lang_id=ENG&sec_id=124,2021-11-18,Q109623194,Vice Prime Minister,Q56152039-D7FE527E-F0FA-414C-8CB8-962377B57B1F
Q63247681,Natela Turnava,Natela Turnava,female,1968-10-19,11,http://gov.ge/index.php?lang_id=ENG&sec_id=124,2021-11-18,Q108370218,Minister of Economy and Sustainable Development of Georgia,Q63247681-7A5B2B48-17FE-4834-A1C0-1FE95C022026
Q65285987,Mikheil Chkhenkeli,Mikheil Chkhenkeli,,,,http://gov.ge/index.php?lang_id=ENG&sec_id=124,2021-11-18,Q108376607,Minister of Education and Science of Georgia,Q65285987-2CB9BF23-51BF-4685-83C2-AD2DE0D9E8F7
Q89066171,Ekaterine Tikaradze,Ekatrine Tikradze,female,1976-03-03,11,http://gov.ge/index.php?lang_id=ENG&sec_id=124,2021-11-18,Q108376722,"Minister of Internally Displaced Persons from the Occupied Territories, Labour, Health and Social Affairs of Georgia",Q89066171-98C02EC1-573A-4C66-B0BB-A7762FBA905F
